"loc","description","description_clean"
"https://alorica.com/insights/strategic-guides-trend-reports","Explore Alorica's strategic guides and trend reports and learn how you can digitally charge your CX and transform your business.","Explore Alorica's strategic guides and trend reports and learn how you can digitally charge your CX and transform your business."
"https://alorica.com/careers/asia-pacific","Kick your career into high gear! We’re looking to add some awesome individuals to our Asia-Pacific team. Apply now.","Kick your career into high gear! We’re looking to add some awesome individuals to our Asia-Pacific team. Apply now."
"https://alorica.com/careers/dominican-republic","Discover jobs offering outstanding customer and technical support, and unparalleled customer relationship management from our operations in the Dominican Republic.","Discover jobs offering outstanding customer and technical support, and unparalleled customer relationship management from our operations in the Dominican Republic."
"https://alorica.com/careers","Explore a career at Alorica. Gone are the days of the mundane desk job. Passion starts from within, and we’re all about crafting a great space for our colleagues.","Explore a career at Alorica. Gone are the days of the mundane desk job. Passion starts from within, and we’re all about crafting a great space for our colleagues."
"https://alorica.com/careers/guatemala","Discover jobs offering outstanding customer and technical support, and unparalleled customer relationship management from our operations in Guatemala.","Discover jobs offering outstanding customer and technical support, and unparalleled customer relationship management from our operations in Guatemala."
"https://alorica.com/news/all-news","Get the latest news on Alorica and learn how we're reimagining the customer experience and shattering the status quo.","Get the latest news on Alorica and learn how we're reimagining the customer experience and shattering the status quo."
"https://alorica.com/outcomes/products/alorica-iq","<p>Alorica IQ optimizes CX with solutions designed by CX architects and engineers, harnessing the latest in design thinking, analytics, automation, and emerging technologies to improve performance and enhance the customer journey. </p><p>No matter what your goals are&mdash;optimizing your existing investments or building the best customer experiences from scratch&mdash;Alorica&rsquo;s got the tech, the team, and the skills to transform your business.&nbsp;
</p><p>Watch the video below to learn a little more about Alorica IQ&mdash;and then, let&rsquo;s talk!<br /></p><p>&nbsp;</p><center><video controls=""controls"" src=""[videos%7COpenAccessDataProvider]b924dce4-1fbd-4fbd-8d38-20d6b225db9d"" height=""auto"" style=""width:65%;height:auto;"" width=""65%""></video></center>&nbsp;","Alorica IQ optimizes CX with solutions designed by CX architects and engineers, harnessing the latest in design thinking, analytics, automation, and emerging technologies to improve performance and enhance the customer journey. No matter what your goals are—optimizing your existing investments or building the best customer experiences from scratch—Alorica’s got the tech, the team, and the skills to transform your business. Watch the video below to learn a little more about Alorica IQ—and then, let’s talk!"
"https://alorica.com/outcomes/efficiency-and-optimization/alorica-automation","Integrate, unify and transform processes for happier agents, clients and customers. Learn how with Alorica Intelligent Automation and R&CA strategies.","Integrate, unify and transform processes for happier agents, clients and customers. Learn how with Alorica Intelligent Automation and R&CA strategies."
"https://alorica.com/corporate-social-responsibility","Alorica was built on three P's; Passion, Performance and Possibilities. When it comes to CSR, we focus on another three: Philanthropy, People and Planet.","Alorica was built on three P's; Passion, Performance and Possibilities. When it comes to CSR, we focus on another three: Philanthropy, People and Planet."
"https://alorica.com/insights/podcasts-videos","Explore Alorica's podcasts and videos and learn how you can digitally charge your CX and transform your business.","Explore Alorica's podcasts and videos and learn how you can digitally charge your CX and transform your business."
"https://alorica.com/alorica-agent-resources","Welcome to the team! At Alorica, working from home doesn't mean working alone—we've got your back!","Welcome to the team! At Alorica, working from home doesn't mean working alone—we've got your back!"
"https://alorica.com/sales-inquiries","Partner with Alorica! Contact us for sales inquiries, RFPs, requests for information, and any other business questions you might have.","Partner with Alorica! Contact us for sales inquiries, RFPs, requests for information, and any other business questions you might have."
"https://alorica.com/diversity-equity-and-inclusion","<p align=""center"" style=""text-align:center;""><i>Largest Certified Minority-Owned BPO Recognized for Industry-Leading Commitment to DE&amp;I as It Celebrates 24 Years of Operation</i><b style=""background-color:transparent;color:inherit;font-size:inherit;text-align:inherit;text-transform:inherit;word-spacing:normal;caret-color:auto;white-space:inherit;""></b></p><br /><p><b>IRVINE, Calif., June 15, 2023&mdash;</b> <a href=""http://www.alorica.com/"" data-sf-ec-immutable="""">Alorica Inc.</a>, a trusted global leader in next-generation customer experience (CX) solutions, has received its third Silver Stevie&reg; Award for
    Minority-Owned Business of the Year. This marks Alorica's fifth accolade in this supplier diversity category, underscoring the company's longtime dedication to diversity, equity, and inclusion (DE&amp;I) as part of its core differentiators. Alorica
    previously won the Bronze Stevie&reg; in 2018 and 2019 before securing the coveted Silver Stevie&reg; in 2021 and 2022.</p><p>&nbsp;The Stevie win comes as Alorica celebrates 24 years in the industry. <i>""When we started Alorica in 1999 as a family-owned business, embracing diversity and promoting inclusivity were&mdash;and still are&mdash;an integral part of who we are,&rdquo; </i><b>said Alorica&rsquo;s Founder and Executive Chairman Andy Lee.</b> <i>&ldquo;DE&amp;I are not only the right areas to prioritize, but they&rsquo;re also critical components in building a global business. It&rsquo;s important to us that we&rsquo;re making a difference for our customers, employees as well as our communities.&rdquo;&nbsp;</i></p><p>As a certified Minority Business Enterprise (MBE) by the National Minority Supplier Development Council (NMSDC), Alorica stands alongside 20% of U.S. businesses. The company's commitment to diversity resonates throughout its ranks, with almost 70% of
    its U.S. employees representing minority groups, and women comprising 60% of its global workforce. Alorica focuses on internal growth, with a majority of executive and leadership positions filled through promotions from within the company. In 2022,
    Alorica promoted over 5,000 employees, more than half of whom were women.&nbsp;</p><p>For this award, the judging panel acknowledged Alorica&rsquo;s key initiatives, such as its global DE&amp;I program&mdash;<a href=""https://www.alorica.com/diversity-equity-and-inclusion"" data-sf-ec-immutable="""">Together for Inclusion, Diversity, and Equity (TIDE)</a>&mdash;which
 received accolades for providing employees with a platform for discussion, education, and activism.&nbsp;</p><p>Overall, Alorica garnered high praise from the esteemed panel during the 2023 award selection process. Judges commented:</p><ul style=""margin-left:60px;""><li><b>&ldquo;Alorica is an impressive company that focuses on delivering digital customer experiences while prioritizing diversity and inclusion.&rdquo; </b></li></ul><b></b><ul style=""margin-left:60px;""><li><b>The company&rsquo;s performance has been outstanding and its culture of care and commitment to diversity and inclusion make it a standout in the industry.&rdquo; </b></li></ul><b></b><ul style=""margin-left:60px;""><li><b>""Alorica&rsquo;s commitment to giving back to its employees and their communities through its non-profit <a href=""https://livesbetter.org/"" data-sf-ec-immutable="""">MLBA</a> is worth noting. The company&rsquo;s focus on family and helping employees is remarkable, and far-reaching.&rdquo;</b><b></b></li></ul><p><i>""We are proud to be called a standout in the industry as an award-winning business rooted in our minority ownership and diversity,""</i> <b>shared Greg Haller, Alorica's Chief Executive Officer.</b> <i>""It enables us to deliver exceptional service on behalf of our clients as we honor the diverse perspectives, needs and cultures of our employees and customers.&rdquo;&nbsp;</i><i></i></p><p>&nbsp;</p><div><hr color=""#FFAA637"" size=""1"" /><div><div><p paraid=""441370501"" paraeid=""{171a65c3-53f9-4724-9bca-9b8264c8b535}{240}""><b>&nbsp;</b></p><p paraid=""441370501"" paraeid=""{171a65c3-53f9-4724-9bca-9b8264c8b535}{240}""><b>About Alorica&nbsp;</b><br />Alorica &nbsp;creates insanely great digital customer experiences at scale. Our team of 100,000 solutionists, technologists, and operators partner with global brands and disruptive innovators to deliver digitally-charged,
                tailored interactions customers crave. With a track record of creating long-term loyalty, Alorica brings actionable insights, proven processes and CX leadership to transform clients&rsquo; business needs, whether they&rsquo;re focused
                on digital optimization, customer engagement, or market expansion. Through strategic partnerships with best-in-breed technology, we design, integrate, and optimize digital solutions personalized to reach clients&rsquo; most desired outcomes
                now and for the future. Alorica drives CX innovation for the best clients around the globe from its award-winning operations in 17 countries worldwide. To learn more, visit <a href=""http://www.alorica.com/"" style=""font-family:inherit;font-size:inherit;text-align:inherit;text-transform:inherit;white-space:inherit;word-spacing:normal;"" data-sf-ec-immutable="""">www.alorica.com</a>
 <font color=""inherit"" face=""inherit"" size=""-1"">.&nbsp;</font>
 </p></div><p><b></b><b>Media Contact:<br /></b>Sunny Yu, Alorica Inc.<br /><a href=""mailto:Sunny.Yu@Alorica.com"">Sunny.Yu@Alorica.com</a></p><p><br /></p></div><p paraid=""1531511774"" paraeid=""{5c6b287b-901a-4f7a-bb08-0be4ba1f1443}{8}"">&nbsp;</p></div>","Largest Certified Minority-Owned BPO Recognized for Industry-Leading Commitment to DE&I as It Celebrates 24 Years of Operation IRVINE, Calif., June 15, 2023— Alorica Inc. , a trusted global leader in next-generation customer experience (CX) solutions, has received its third Silver Stevie® Award for Minority-Owned Business of the Year. This marks Alorica's fifth accolade in this supplier diversity category, underscoring the company's longtime dedication to diversity, equity, and inclusion (DE&I) as part of its core differentiators. Alorica previously won the Bronze Stevie® in 2018 and 2019 before securing the coveted Silver Stevie® in 2021 and 2022. The Stevie win comes as Alorica celebrates 24 years in the industry. ""When we started Alorica in 1999 as a family-owned business, embracing diversity and promoting inclusivity were—and still are—an integral part of who we are,” said Alorica’s Founder and Executive Chairman Andy Lee. “DE&I are not only the right areas to prioritize, but they’re also critical components in building a global business. It’s important to us that we’re making a difference for our customers, employees as well as our communities.” As a certified Minority Business Enterprise (MBE) by the National Minority Supplier Development Council (NMSDC), Alorica stands alongside 20% of U.S. businesses. The company's commitment to diversity resonates throughout its ranks, with almost 70% of its U.S. employees representing minority groups, and women comprising 60% of its global workforce. Alorica focuses on internal growth, with a majority of executive and leadership positions filled through promotions from within the company. In 2022, Alorica promoted over 5,000 employees, more than half of whom were women. For this award, the judging panel acknowledged Alorica’s key initiatives, such as its global DE&I program— Together for Inclusion, Diversity, and Equity (TIDE) —which received accolades for providing employees with a platform for discussion, education, and activism. Overall, Alorica garnered high praise from the esteemed panel during the 2023 award selection process. Judges commented: “Alorica is an impressive company that focuses on delivering digital customer experiences while prioritizing diversity and inclusion.” The company’s performance has been outstanding and its culture of care and commitment to diversity and inclusion make it a standout in the industry.” ""Alorica’s commitment to giving back to its employees and their communities through its non-profit MLBA is worth noting. The company’s focus on family and helping employees is remarkable, and far-reaching.” ""We are proud to be called a standout in the industry as an award-winning business rooted in our minority ownership and diversity,"" shared Greg Haller, Alorica's Chief Executive Officer. ""It enables us to deliver exceptional service on behalf of our clients as we honor the diverse perspectives, needs and cultures of our employees and customers.” About Alorica Alorica creates insanely great digital customer experiences at scale. Our team of 100,000 solutionists, technologists, and operators partner with global brands and disruptive innovators to deliver digitally-charged, tailored interactions customers crave. With a track record of creating long-term loyalty, Alorica brings actionable insights, proven processes and CX leadership to transform clients’ business needs, whether they’re focused on digital optimization, customer engagement, or market expansion. Through strategic partnerships with best-in-breed technology, we design, integrate, and optimize digital solutions personalized to reach clients’ most desired outcomes now and for the future. Alorica drives CX innovation for the best clients around the globe from its award-winning operations in 17 countries worldwide. To learn more, visit www.alorica.com . Media Contact: Sunny Yu, Alorica Inc. Sunny.Yu@Alorica.com"
"https://alorica.com/outcomes/efficiency-and-optimization/contact-optimization","Customer Experience Optimization solutions for efficient CX interactions, with call deflection, intelligent call and contact routing, analytics and more.","Customer Experience Optimization solutions for efficient CX interactions, with call deflection, intelligent call and contact routing, analytics and more."
"https://alorica.com/outcomes/products/knowledge-management","Create a more consistent and efficient customer experience with Alorica’s Knowledge Management. Learn how.","Create a more consistent and efficient customer experience with Alorica’s Knowledge Management. Learn how."
"https://alorica.com/contact","Contact Alorica for customer service questions, careers, and any other general information.","Contact Alorica for customer service questions, careers, and any other general information."
"https://alorica.com/outcomes/growth/alorica-on-demand","Expand your seasonal and surge programs by 20K+ agents in any given quarter with Alorica On-Demand, our burstable and scalable workforce model. Learn how!","Expand your seasonal and surge programs by 20K+ agents in any given quarter with Alorica On-Demand, our burstable and scalable workforce model. Learn how!"
"https://alorica.com/insights/resource/go-digital","Discover the value of going digital.  Assess how much digital CX can transform your bottom line—from frontline agents to back office staff and beyond.","Discover the value of going digital. Assess how much digital CX can transform your bottom line—from frontline agents to back office staff and beyond."
"https://alorica.com/industries/online-community","The internet can be tough, but Alorica is tougher. Alorica’s online community management helps you protect your users and your brand anytime, anywhere.","The internet can be tough, but Alorica is tougher. Alorica’s online community management helps you protect your users and your brand anytime, anywhere."
"https://alorica.com/equal-employment-opportunity-employer","Alorica is an Affirmative Action and Equal Opportunity Employer. ","Alorica is an Affirmative Action and Equal Opportunity Employer."
"https://alorica.com/industries","Find out how Alorica’s digitally charged and future-focused strategies deliver results with insanely great CX, no matter your niche.","Find out how Alorica’s digitally charged and future-focused strategies deliver results with insanely great CX, no matter your niche."
"https://alorica.com/careers/puebla","Discover an outstanding career in customer and technical support, creating insanely great customer experiences from our operations in Puebla, Mexico.","Discover an outstanding career in customer and technical support, creating insanely great customer experiences from our operations in Puebla, Mexico."
"https://alorica.com/outcomes/growth","Deliver on outcomes with Growth expertise from Alorica.","Deliver on outcomes with Growth expertise from Alorica."
"https://alorica.com/careers/india","Discover jobs offering outstanding customer and technical support, and unparalleled customer relationship management from our operations in India.","Discover jobs offering outstanding customer and technical support, and unparalleled customer relationship management from our operations in India."
"https://alorica.com/industries/technology","Learn how Alorica’s technology customer service can help boost your engagements, increase brand awareness and increase loyalty. Call us today to find out how!","Learn how Alorica’s technology customer service can help boost your engagements, increase brand awareness and increase loyalty. Call us today to find out how!"
"https://alorica.com/procurement","Purchase order, work order and terms and conditions documents and resources for Alorica vendors.","Purchase order, work order and terms and conditions documents and resources for Alorica vendors."
"https://alorica.com/outcomes/products/virtual-assistant","Deliver speed, efficiency and accuracy to give your customers a way to connect with your brand 24/7. Book a demo to see how our Virtual Assistant can help.","Deliver speed, efficiency and accuracy to give your customers a way to connect with your brand 24/7. Book a demo to see how our Virtual Assistant can help."
"https://alorica.com/careers/philippines","Work in state-of-the-art facilities, on safe and secure campuses with lounges, fitness centers, sleeping quarters and medical clinics. Explore a career at Alorica.","Work in state-of-the-art facilities, on safe and secure campuses with lounges, fitness centers, sleeping quarters and medical clinics. Explore a career at Alorica."
"https://alorica.com/outcomes","Market expansion, digital optimization, or increasing engagement—you can count on us to help you maximize your customer experience outcomes. Learn how!","Market expansion, digital optimization, or increasing engagement—you can count on us to help you maximize your customer experience outcomes. Learn how!"
"https://alorica.com/outcomes/community","Deliver on outcomes with Community expertise from Alorica.","Deliver on outcomes with Community expertise from Alorica."
"https://alorica.com/insights/glossary","Your resource for outsourcing industry terms.","Your resource for outsourcing industry terms."
"https://alorica.com/industries/online-marketplaces","Grow your online marketplace with Alorica! Call us today to learn how we can help expand your delivery on demand with a trusted partner.","Grow your online marketplace with Alorica! Call us today to learn how we can help expand your delivery on demand with a trusted partner."
"https://alorica.com/industries/subscription-services","When it comes to streaming services management, customers expect support on every channel. ‘Subscribe’ to Alorica to see how we can help!","When it comes to streaming services management, customers expect support on every channel. ‘Subscribe’ to Alorica to see how we can help!"
"https://alorica.com/news/press-releases","Check out our latest press releases and learn how we're reimagining the customer experience and shattering the status quo.","Check out our latest press releases and learn how we're reimagining the customer experience and shattering the status quo."
"https://alorica.com/careers/uruguay","Discover an outstanding career in customer and technical support, creating insanely great customer experiences from our operations in Uruguay.","Discover an outstanding career in customer and technical support, creating insanely great customer experiences from our operations in Uruguay."
"https://alorica.com/outcomes/products/rpa-rda","Alorica RPA and RDA boosts productivity and improved CX with speed, efficiency and accuracy. Optimize your digital CX with our solutions.","Alorica RPA and RDA boosts productivity and improved CX with speed, efficiency and accuracy. Optimize your digital CX with our solutions."
"https://alorica.com/careers/panama","Discover an outstanding career in customer and technical support, creating insanely great customer experiences from our operations in Panama.","Discover an outstanding career in customer and technical support, creating insanely great customer experiences from our operations in Panama."
"https://alorica.com/insights/calculators","Explore Alorica's calculators and interactive content and learn how you can digitally charge your CX and transform your business.","Explore Alorica's calculators and interactive content and learn how you can digitally charge your CX and transform your business."
"https://alorica.com/outcomes/continuity","Deliver on outcomes with Continuity expertise from Alorica.","Deliver on outcomes with Continuity expertise from Alorica."
"https://alorica.com/outcomes/efficiency-and-optimization","Deliver on outcomes with Efficiency and Optimization expertise from Alorica.","Deliver on outcomes with Efficiency and Optimization expertise from Alorica."
"https://alorica.com/outcomes/continuity/geo-optimization","Explore Alorica's call center outsourcing solutions delivered from contact centers in North America, LATAM / Caribbean, Asia-Pacific / Philippines & Europe","Explore Alorica's call center outsourcing solutions delivered from contact centers in North America, LATAM / Caribbean, Asia-Pacific / Philippines & Europe"
